Product_ID,Product_Name,Category,Source_Platform,Search_Term,Estimated_Cost,Retail_Price_45_Markup,Profit_Margin,Notes
1045,Pet Hair Remover Roller,Pet Products,Spocket / AliExpress,pet hair remover roller,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1046,LED Dog Collar,Pet Products,Spocket / AliExpress,led dog collar,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1047,Cat Window Perch,Pet Products,Spocket / AliExpress,cat window perch,$10.00,$18.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1048,Slow Feeder Dog Bowl,Pet Products,Spocket / AliExpress,slow feeder dog bowl,$3.50,$6.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1049,Pet Nail Clippers with Safety Guard,Pet Products,Spocket / AliExpress,pet nail clippers,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1050,Plush Dog Toy Squeaky,Pet Products,Spocket / AliExpress,squeaky plush dog toy,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1051,Minimalist Gold Plated Necklace,Fashion Accessories,Spocket / AliExpress,gold plated necklace,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1052,Satin Headband for Women,Fashion Accessories,Spocket / AliExpress,satin headband,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1053,Anti Blue Light Glasses,Fashion Accessories,Spocket / AliExpress,blue light glasses,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1054,Leather RFID Blocking Wallet,Fashion Accessories,Spocket / AliExpress,rfid wallet,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1055,Set of 6 Pearl Hair Clips,Fashion Accessories,Spocket / AliExpress,pearl hair clips,$1.20,$2.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1056,Canvas Tote Bag,Fashion Accessories,Spocket / AliExpress,canvas tote bag,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1057,Bucket Hat for Men and Women,Fashion Accessories,Spocket / AliExpress,bucket hat,$3.00,$5.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1058,Statement Earrings,Fashion Accessories,Spocket / AliExpress,statement earrings,$1.80,$3.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1059,Silk Scarf,Fashion Accessories,Spocket / AliExpress,silk scarf,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1060,Adjustable Friendship Bracelets,Fashion Accessories,Spocket / AliExpress,friendship bracelets,$0.80,$1.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1061,Yoga Mat with Carrying Strap,Health & Fitness,Spocket / AliExpress,yoga mat strap,$12.00,$21.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1062,Resistance Bands Set,Health & Fitness,Spocket / AliExpress,resistance bands set,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1063,Smart Fitness Tracker Watch,Health & Fitness,Spocket / AliExpress,fitness tracker watch,$15.00,$27.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1064,Massage Gun Deep Tissue,Health & Fitness,Spocket / AliExpress,massage gun,$25.00,$45.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1065,Digital Body Weight Scale,Health & Fitness,Spocket / AliExpress,digital body scale,$10.00,$18.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1066,Jump Rope with Counter,Health & Fitness,Spocket / AliExpress,jump rope counter,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1067,Ab Roller Wheel,Health & Fitness,Spocket / AliExpress,ab roller wheel,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1068,Foam Roller for Muscle Massage,Health & Fitness,Spocket / AliExpress,foam roller,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1069,Kinesiology Tape,Health & Fitness,Spocket / AliExpress,kinesiology tape,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1070,Water Bottle with Time Marker,Health & Fitness,Spocket / AliExpress,water bottle time marker,$4.50,$8.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1071,Baby Diaper Caddy Organizer,Baby & Kids,Spocket / AliExpress,diaper caddy organizer,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1072,Silicone Baby Bibs,Baby & Kids,Spocket / AliExpress,silicone baby bibs,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1073,Montessori Wooden Toys,Baby & Kids,Spocket / AliExpress,montessori wooden toys,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1074,Baby Bath Visor,Baby & Kids,Spocket / AliExpress,baby bath visor,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1075,Kids Digital Camera,Baby & Kids,Spocket / AliExpress,kids digital camera,$15.00,$27.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1076,LCD Writing Tablet for Kids,Baby & Kids,Spocket / AliExpress,lcd writing tablet,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1077,Baby Knee Pads for Crawling,Baby & Kids,Spocket / AliExpress,baby knee pads,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1078,Stroller Organizer Bag,Baby & Kids,Spocket / AliExpress,stroller organizer bag,$7.00,$12.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1079,Pacifier Clips,Baby & Kids,Spocket / AliExpress,pacifier clips,$1.20,$2.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1080,Baby Fruit Feeder Pacifier,Baby & Kids,Spocket / AliExpress,baby fruit feeder,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1081,Desk Organizer with Drawers,Office & Stationery,Spocket / AliExpress,desk organizer drawers,$7.00,$12.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1082,Laptop Stand for Desk,Office & Stationery,Spocket / AliExpress,laptop stand desk,$9.00,$16.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1083,Gel Pens Set (48 colors),Office & Stationery,Spocket / AliExpress,gel pens set,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1084,Cable Management Box,Office & Stationery,Spocket / AliExpress,cable management box,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1085,Mini Desk Vacuum Cleaner,Office & Stationery,Spocket / AliExpress,mini desk vacuum,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1086,Aesthetic Sticky Notes Set,Office & Stationery,Spocket / AliExpress,aesthetic sticky notes,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1087,Ergonomic Mouse Pad with Wrist Support,Office & Stationery,Spocket / AliExpress,ergonomic mouse pad,$3.50,$6.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1088,Document Organizer Bag,Office & Stationery,Spocket / AliExpress,document organizer bag,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1089,Electric Pencil Sharpener,Office & Stationery,Spocket / AliExpress,electric pencil sharpener,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1090,Phone Stand with Adjustable Angle,Office & Stationery,Spocket / AliExpress,adjustable phone stand,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1091,Car Back Seat Organizer,Automotive,Spocket / AliExpress,car back seat organizer,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1092,Magnetic Car Phone Holder,Automotive,Spocket / AliExpress,magnetic car phone holder,$2.50,$4.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1093,Car Trash Can with Lid,Automotive,Spocket / AliExpress,car trash can lid,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1094,Car Cleaning Gel,Automotive,Spocket / AliExpress,car cleaning gel,$1.50,$2.73,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1095,LED Car Interior Lights,Automotive,Spocket / AliExpress,led car interior lights,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1096,Tire Pressure Gauge Digital,Automotive,Spocket / AliExpress,digital tire pressure gauge,$3.00,$5.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1097,Car Seat Gap Filler,Automotive,Spocket / AliExpress,car seat gap filler,$2.00,$3.64,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1098,Windshield Sun Shade,Automotive,Spocket / AliExpress,windshield sun shade,$4.50,$8.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1099,Car Air Freshener Vent Clips,Automotive,Spocket / AliExpress,car air freshener vent clips,$1.00,$1.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1100,Microfiber Car Cleaning Cloths (12-pack),Automotive,Spocket / AliExpress,microfiber car cleaning cloths,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1101,Christmas Projector Lights Outdoor,Seasonal & Gifts,Spocket / AliExpress,christmas projector lights,$15.00,$27.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1102,Personalized Name Necklace,Seasonal & Gifts,Spocket / AliExpress,personalized name necklace,$3.00,$5.45,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1103,Galaxy Rose in Glass Dome,Seasonal & Gifts,Spocket / AliExpress,galaxy rose glass dome,$8.00,$14.55,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1104,Moon Lamp,Seasonal & Gifts,Spocket / AliExpress,moon lamp,$10.00,$18.18,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1105,Engraved Wooden Watch,Seasonal & Gifts,Spocket / AliExpress,engraved wooden watch,$20.00,$36.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1106,Sunset Lamp Projector,Seasonal & Gifts,Spocket / AliExpress,sunset lamp projector,$6.00,$10.91,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1107,Custom Star Map,Seasonal & Gifts,Spocket / AliExpress,custom star map,$12.00,$21.82,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1108,Explosion Gift Box,Seasonal & Gifts,Spocket / AliExpress,explosion gift box,$5.00,$9.09,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1109,Music Box Hand Crank,Seasonal & Gifts,Spocket / AliExpress,hand crank music box,$4.00,$7.27,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
1110,3D Crystal Ball with LED Base,Seasonal & Gifts,Spocket / AliExpress,3d crystal ball led,$9.00,$16.36,45%,Proven winner based on market analytics. Search on Spocket or DSers to import.
